Campo;Descripción campo;Tabla
g_customer_id;Identificador de cliente en modelo global, entendiéndose por cliente aquella persona, fí­sica o jurí­dica, que contrata un producto o servicio con la entidad financiera. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;t_kbtq_cust_cont_group_role
g_container_contact_id;Campo Modelo Global contendor que mediante un identificador secuencial permite identificar el contacto, pudiendo ser este contacto un cliente, un grupo, un gestor, un medio de contacto. Se trata de un campo que sirve para cruzar con otras tablas del modelo con información de contacto.;t_kbtq_cust_cont_group_role
gf_customer_contact_group_id;Identificador de grupos de contacto de un cliente. EJ: personales, gestión, familiares, administradores, empleados, otros.;t_kbtq_cust_cont_group_role
gf_contact_role_type;Código correspondiente al rol que tiene el contacto en relación con el cliente: empleado, tutor, usuario, administrador, representante etc....;t_kbtq_cust_cont_group_role
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_cust_cont_group_role
gf_contact_role_desc;Descripción del Rol que tiene el contacto, como por ejemplo: empleado, tutor, usuario, administrador, representante, etc.;t_kbtq_cust_cont_group_role
gf_contact_group_desc;Descripción de grupos de contacto. EJ: personales, gestión, familiares, administradores, empleados, otros.;t_kbtq_cust_cont_group_role
gf_record_funcl_update_date;Momento de actualización del registro. Cuando el cambio ha sido provocado por la operativa funcional;t_kbtq_cust_cont_group_role
g_update_source_type;Tipo de modelo global que marca el origen desde el que se modifica un dato. Cuando existe convivencia entre distintos origenes, por ejemplo: Host o APX, es necesario conocer en cual de ellos se ha actualizado para nivelar la información.;t_kbtq_cust_cont_group_role
gf_audit_operuser_id;Auditoria - Identificador del usuario/proceso que ha realizado la inserción/modificación del registro en el objeto ORIGEN (tabla, fichero...);t_kbtq_cust_cont_group_role
gf_effective_share_per;Porcentaje de participación efectiva entre los elementos de la relación.;t_kbtq_cust_cont_group_role
gf_cnt_per_assigned_role_date;Fecha de asignación del rol para la persona de contacto.;t_kbtq_cust_cont_group_role
gf_operational_audit_date;Fecha de auditorí­a del sistema origen;t_kbtq_cust_cont_group_role
gf_audit_insertion_user_id;Identificador del usuario de auditorí­a que realizó la inserción.;t_kbtq_cust_cont_group_role
gf_creation_terminal_id;Código de la terminal que realizó la creacion del movimiento.;t_kbtq_cust_cont_group_role
gf_terminal_last_modify_id;Código que permite identificar el terminal donde se realizó la última modificación.;t_kbtq_cust_cont_group_role
gf_account_register_branch_id;Código identificadtivo de la Oficina/sucursal en la cual se ha realizado el alta de la cuenta.;t_kbtq_cust_cont_group_role
gf_last_change_branch_id;Código de la sucursal / oficina que realizó la última modificación en la información del registro;t_kbtq_cust_cont_group_role
gf_conciliation_id;Identificador de conciliación, el cual va a permitir discernir si la informacion cargada esta alineada con el origen. La información que puede contener puede ser de cualquier naturaleza, como por ejempllo: PAN, telefono del cliente, DNI,etc;t_kbtq_cust_cont_group_role
gf_legacy_access_code_id;Identificador que hace referencia al código del Legacy. Por ejemplo la clave local para poder consultar un registro en el Host.;t_kbtq_cust_cont_group_role
gf_cntct_chan_access_key_id;Identificador que contendrá el código de acceso a los canales de contacto. Puede ser un identificador de cliente, usuario o contacto.;t_kbtq_cust_contact_chan
gf_contact_channel_owner_type;Indicador del tipo de propietario del canal de contacto. Podrá ser un cliente, un usuario o un contacto.;t_kbtq_cust_contact_chan
g_record_sequential_id;Concepto técnico reflejado en forma de código secuencial uní­voco para modelo global, que permite identificar univocamente cada registro de un objeto.;t_kbtq_cust_contact_chan
gf_cutoff_date;Refleja el momento en el tiempo al que hacen referencia los datos del objeto (tabla, un fichero, etc.) Por ejemplo: - Reflejando el dí­a al que pertenece la información - Reflejando el mes al que pertenece la información mostrando el dí­a de cierre natural de mes;t_kbtq_cust_contact_chan
gf_correspondence_language_id;Idioma en el que el cliente desea recibir la correspondencia;t_kbtq_cust_contact_chan
gf_contact_channel_desc;Descripción del canal de contacto del cliente o contacto. El modo de contactar con un cliente o contacto puede realizarse por varios canales, correo, teléfono, fax,.. Este concepto, representa el valor con el que contactar con un cliente o contacto. Por ejemplo, si la forma de contactar con el cliente es ví­aÂ mail, el campo contendrá el mail, si es ví­a teléfono, el campo contendrá el teléfonoÂ al que llamar...;t_kbtq_cust_contact_chan
gf_cntct_chan_owner_type_desc;Descripción del tipo de propietario del canal de contacto. Podrá ser un cliente, un usuario o un contacto.;t_kbtq_cust_contact_chan
gf_contact_channel_id;Código identificativo del canal de contacto del cliente, grupo, sucursal, etc.;t_kbtq_cust_contact_chan
gf_contact_channel_format_id;Identificador correspondiente al formato del canal de contacto. Pudiendo informarse este campo con información, por ejemplo, de un telófono, un email, una dirección...;t_kbtq_cust_contact_chan
gf_contact_channel_format_desc;Descripción del formato del canal de contacto. Pudiendo informarse este campo con información, por ejemplo, de un telófono, un email, una dirección...;t_kbtq_cust_contact_chan
gf_contact_channel_start_date;Momento en el cual se da de alta un determinado canal/método de contacto.;t_kbtq_cust_contact_chan
gf_contact_chan_validity_type;Marca que permite identificar la validez o fiabilidad del canal de contacto de la Persona registrado en la Entidad. La validez se suele realizar según el criterio de la Entidad. El más extendido consiste en la validación del canal de contacto en función del Contacto con el cliente. Si el cliente da feedback tras una notificación a dicho canal se valida éste.;t_kbtq_cust_contact_chan
gf_preferred_contact_chan_type;Código que indica el tipo de canal de contacto preferido por la persona de contacto. Por ejemplo: teléfono fijo, teléfono móvil, email, etc.;t_kbtq_cust_contact_chan
