Campo ID;Nombre fisico del campo;Descripcion del capo;Nombre logico del campo;Tipo de dato;Key;Formato;Formato logico;Mandatory;Nombre fisico de la tabla origen
219553;g_account_register_entity_id;Código Modelo Global del Banco/Entidad que realizó el alta en la información del registro de la cuenta.;IDENTIFICADOR ENTIDAD REGISTRO DE LA CUENTA MODELO GLOBAL;string;FALSE;;ALPHANUMERIC(6);FALSE;t_kbtq_customer_info_his
219554;g_birth_country_id;Código ISO del Modelo Global que identifica el Paí­s de nacimiento de la Persona;IDENTIFICADOR PAIS NACIMIENTO EN MODELO GLOBAL;string;FALSE;;ALPHANUMERIC(2);FALSE;t_kbtq_customer_info_his
219555;g_cent_adm_pub_comp_type;Indicador en el modelo global de empresa pública dependiente de la administración central.;INDICADOR EMPRESA PUBLICA DEPENDIENTE ADMIN CENTRAL GMOD;string;FALSE;;ALPHANUMERIC(1);FALSE;t_kbtq_customer_info_his
219556;g_country_id;Código ISO del modelo global que permite identificar de manera uní­voca un paí­s.;IDENTIFICADOR PAIS MODELO GLOBAL;string;FALSE;;ALPHANUMERIC(2);TRUE;t_kbtq_customer_info_his
219557;g_currency_id;Código alfanumérico Modelo Global de 3 posiciones que clasifica la divisa/moneda de los paí­ses en base al estándar internacional ISO 4217. Por ejemplo: EUR (Euro), ARS (Peso Argentino), COP (Peso Colombiano), CAD (Dolar canadiense), USA (Dolar estadounidense)...;IDENTIFICADOR MODELO GLOBAL DIVISA;string;FALSE;;ALPHANUMERIC(3);FALSE;t_kbtq_customer_info_his
219558;g_current_segment_desc;Descripcion Modelo Global que permite identificar el grupo al que está asignado actualmente un cliente de la Entidad.;DESCRIPCION MODELO GLOBAL SEGMENTO ACTUAL;string;FALSE;;ALPHANUMERIC(80);FALSE;t_kbtq_customer_info_his
219559;g_customer_company_country_id;Identificador de paí­s Modelo Global donde está registrada legalmente la empresa para aquellas personas jurí­dicas clientes de la Entidad,;IDENTIFICADOR MODELO GLOBAL PAIS DE LA EMPRESA;string;FALSE;;ALPHANUMERIC(2);FALSE;t_kbtq_customer_info_his
219560;g_customer_id;Identificador de cliente en modelo global, entendiéndose por cliente aquella persona, fí­sica o jurí­dica, que contrata un producto o servicio con la entidad financiera. Este código permite la identificación uní­voca de cada uno de ellos a nivel mundial, no pudiéndose repetir el mismo identificador en dos paí­ses distintos.;IDENTIFICADOR CLIENTE MODELO GLOBAL;string;TRUE;;ALPHANUMERIC(15);TRUE;t_kbtq_customer_info_his
219561;g_customer_language_id;Código del Idioma del cliente en modelo global según norma ISO.;IDENTIFICADOR DEL IDIOMA DEL CLIENTE MODELO GLOBAL;string;FALSE;;ALPHANUMERIC(2);FALSE;t_kbtq_customer_info_his
219562;g_expedition_doc_country_id;Código ISO en el modelo global que permite identificar de manera uní­voca al paí­s que emite o genera el documento;IDENTIFICADOR PAIS EXPEDICION DE DOCUMENTO MODELO GLOBAL;string;FALSE;;ALPHANUMERIC(2);FALSE;t_kbtq_customer_info_his
